gen,form,total_gb,kit,new_lots,new_sellers,new_min,new_p25,new_fast,new_med,new_p75,new_eur_gb,used_lots,used_sellers,used_min,used_p25,used_fast,used_med,used_p75,used_eur_gb,top_brands,top_speeds,vel_sampled,vel_active,vel_sold_total,vel_median_units_per_week_per_listing,vel_sum_units_per_week,cross_fast_landed,cross_best_vs_de_new
ddr3,sodimm-ecc,4,1x,0,0,,,,,,,1,1,10.99,,10.99,10.99,,2.75,Kingston:1,1333:1,0,0,0,,,,
ddr3,sodimm-ecc,4,kit,0,0,,,,,,,1,1,19.95,,19.95,19.95,,4.99,Elpida:1,1333:1,0,0,0,,,,
ddr3,sodimm-ecc,8,1x,2,2,45.99,,49.99,49.99,,6.25,3,2,17.9,,20.45,20.45,,2.56,other:5,1600:2; 1333:2,0,0,0,,,,
ddr3,sodimm-ecc,8,kit,0,0,,,,,,,1,1,29.95,,29.95,29.95,,3.74,Nanya:1,1600:1,0,0,0,,,,
ddr3,sodimm-ecc,16,1x,3,3,70.99,,96.95,96.95,,6.06,0,0,,,,,,,other:3,1600:3,0,0,0,,,,
ddr3,sodimm-ecc,16,kit,5,5,78.1,83.04,87.99,87.99,99.93,5.5,0,0,,,,,,,other:5,1600:4; 1333:1,0,0,0,,,,
ddr3,udimm,1,1x,5,3,13.99,,17.25,17.25,,17.25,10,8,7.17,10.07,10.89,12.38,16.41,12.38,Kingston:8; Samsung:2; Micron:2; SK Hynix:1,1333:8; 1066:7,0,0,0,,,,
ddr3,udimm,2,1x,10,8,4.9,6.05,6.8,12.4,18.27,6.2,54,37,5.7,8.6,5.9,11.4,13.95,5.7,other:10; Kingston:10; Samsung:8; Micron:8,1333:34; 1600:15; 1066:4,8,4,762,0.0,1.2,,
ddr3,udimm,4,1x,38,15,6.85,12.9,8.9,18.0,24.4,4.5,118,73,5.13,7.79,5.8,10.7,14.23,2.67,Kingston:28; Samsung:27; other:23; SK Hynix:18,1600:81; 1333:54; 1066:3,8,6,3175,0.01,8.7,,
ddr3,udimm,4,kit,4,4,11.45,12.46,17.7,17.7,42.7,4.42,26,24,6.79,9.8,9.2,13.52,17.98,3.38,Kingston:9; Samsung:4; SK Hynix:4; G.Skill:3,1333:16; 1600:6; 1066:4,8,2,300,0.29,0.6,,
ddr3,udimm,8,1x,119,19,17.4,21.0,18.9,29.95,45.99,3.74,59,30,11.8,16.69,13.95,18.5,27.9,2.31,other:92; Samsung:15; HP:14; Crucial:12,1600:133; 1333:27; 1866:5,8,4,186,0.09,2.0,,
ddr3,udimm,8,kit,575,24,12.5,20.3,16.99,33.05,47.82,4.13,260,176,8.8,14.85,9.8,18.21,22.19,2.28,Samsung:431; other:72; Kingston:63; Corsair:55,1600:345; 1333:293; 1066:30,8,6,364,0.0,0.5,,
ddr3,udimm,12,kit,1,1,104.9,,104.9,104.9,,8.74,4,3,16.5,,16.79,16.79,,1.4,SK Hynix:2; other:1; Kingston:1; Samsung:1,1333:2; 1600:2,0,0,0,,,,
ddr3,udimm,16,1x,11,7,59.9,76.95,81.99,87.99,102.95,5.5,6,5,22.4,26.55,35.49,35.49,64.94,2.22,other:12; Samsung:3; Corsair:1; HyperX:1,1600:10; 1066:2; 1866:1,0,0,0,,,,
ddr3,udimm,16,kit,306,41,31.95,49.45,32.07,73.99,103.66,4.62,185,131,12.99,29.75,14.89,36.8,50.19,2.3,other:146; G.Skill:40; Samsung:38; Corsair:38,1600:224; 1333:78; 1866:30,8,6,235,0.01,0.8,AT:35; FR:95; IT:32; ES:33; NL:36; GB:41; US:36,1.0
ddr3,udimm,24,kit,2,1,69.9,,69.9,69.9,,2.91,3,3,19.0,,26.09,26.09,,1.09,Kingston:3; other:1; Samsung:1,1333:3,0,0,0,,,,
ddr3,udimm,32,1x,0,0,,,,,,,6,2,14.64,,26.19,26.19,,0.82,other:5; Micron:1,1333:6,0,0,0,,,,
ddr3,udimm,32,kit,37,9,96.5,118.45,136.99,186.19,290.98,5.82,24,17,32.0,48.0,36.09,86.99,103.34,2.72,other:23; Samsung:11; Kingston:9; HP:5,1600:43; 1333:4; 2133:3,8,4,51,0.04,1.1,,
ddr3,udimm-ecc,2,1x,0,0,,,,,,,3,3,9.0,,10.5,10.5,,5.25,Nanya:2; HP:1,1333:2; 1600:1,0,0,0,,,,
ddr3,udimm-ecc,4,1x,0,0,,,,,,,7,6,6.8,7.36,7.74,8.12,13.59,2.03,SK Hynix:2; Ramaxel:1; Kingston:1; other:1,1600:4; 1333:3,0,0,0,,,,
ddr3,udimm-ecc,8,1x,2,2,27.57,,40.78,40.78,,5.1,3,3,16.1,,16.66,16.66,,2.08,other:2; Timetec:1; Kingston:1; Micron:1,1600:2; 1866:1; 1333:1,0,0,0,,,,
ddr3,udimm-ecc,8,kit,1,1,43.0,,43.0,43.0,,5.38,5,5,13.6,16.3,21.5,21.5,38.3,2.69,Kingston:2; Samsung:1; Nanya:1; HP:1,1600:3; 1333:3,0,0,0,,,,
ddr3,udimm-ecc,16,kit,4,4,49.0,53.36,73.2,73.2,183.48,4.58,11,9,19.98,26.54,28.09,34.19,48.04,2.14,Samsung:4; SK Hynix:3; Kingston:3; G.Skill:2,1600:7; 1333:3; 1066:1,0,0,0,,,,
ddr3,udimm-ecc,32,kit,1,1,93.5,,93.5,93.5,,2.92,9,4,47.9,48.4,52.4,52.4,56.99,1.64,other:7; Apple:1; Kingston:1; SK Hynix:1,1333:5; 1600:2; 1866:2,0,0,0,,,,
ddr4,server,4,1x,2,1,127.0,,127.0,127.0,,31.75,1,1,26.9,,26.9,26.9,,6.72,Kingston:2; SK Hynix:1,2133:1,0,0,0,,,,
ddr4,server,8,1x,7,3,46.9,,48.95,48.95,,6.12,63,40,21.99,26.85,22.9,31.25,41.35,3.91,Samsung:22; SK Hynix:20; Micron:11; HP:5,2133:22; 2400:17; 2666:15,8,4,12,0.28,1.9,,
ddr4,server,8,kit,0,0,,,,,,,2,2,37.9,,41.94,41.94,,5.24,Transcend:2,2133:2,0,0,0,,,,
ddr4,server,16,1x,29,13,77.95,88.19,85.19,99.0,130.54,6.19,337,65,39.0,56.02,42.9,66.18,91.19,4.14,Supermicro:105; Micron:54; SK Hynix:45; Samsung:43,2133:181; 2666:113; 2400:46,8,7,24,0.02,0.6,,
ddr4,server,16,kit,0,0,,,,,,,6,6,36.19,45.8,53.0,54.48,73.54,3.4,Samsung:5; SK Hynix:1,2400:2; 2133:2; 2666:1,0,0,0,,,,
ddr4,server,32,1x,12,7,154.99,174.19,215.0,219.0,300.0,6.84,66,43,94.18,137.37,106.19,166.99,229.0,5.22,Samsung:29; Micron:13; SK Hynix:9; Dell:5,2133:25; 2666:14; 2400:11,8,7,38,0.01,1.8,,
ddr4,server,32,kit,1,1,295.0,,295.0,295.0,,9.22,16,12,86.19,105.41,105.19,108.05,147.25,3.38,SK Hynix:12; Samsung:2; Apple:1; Kingston:1,2666:8; 2133:3; 2933:2,0,0,0,,,,
ddr4,server,48,kit,2,2,179.99,,239.5,239.5,,4.99,0,0,,,,,,,other:2,2933:2,0,0,0,,,,
ddr4,server,64,1x,111,4,299.0,411.5,1024.4,1024.4,1347.29,16.01,13,10,249.0,445.8,499.0,555.49,749.25,8.68,other:55; Samsung:48; Dell:7; SK Hynix:5,3200:104; 2933:11; 2400:4,0,0,0,,,,
ddr4,server,64,kit,49,5,286.19,342.1,437.5,437.5,927.6,6.84,456,8,171.19,211.2,227.42,239.45,373.2,3.74,Micron:156; SK Hynix:124; Supermicro:96; Lenovo:40,2133:476; 2400:21; 2666:3,0,0,0,,,,
ddr4,server,96,kit,1,1,899.0,,899.0,899.0,,9.36,0,0,,,,,,,Apple:1,2933:1,0,0,0,,,,
ddr4,server,128,1x,3,3,606.19,,1499.95,1499.95,,11.72,2,2,799.0,,881.95,881.95,,6.89,other:2; Lenovo:1; SK Hynix:1; Samsung:1,2933:2; 3200:2,0,0,0,,,,
ddr4,server,128,kit,4,2,775.0,,990.49,990.49,,7.74,460,6,395.99,410.62,429.0,442.49,626.15,3.46,Micron:154; SK Hynix:137; Supermicro:87; Lenovo:42,2133:454; 2933:2; 2666:2,0,0,0,,,,
ddr4,server,192,kit,0,0,,,,,,,1,1,606.19,,606.19,606.19,,3.16,other:1,2400:1,0,0,0,,,,
ddr4,server,256,1x,1,1,3028.98,,3028.98,3028.98,,11.83,0,0,,,,,,,Samsung:1,,0,0,0,,,,
ddr4,server,256,kit,268,2,1390.0,,1698.1,1698.1,,6.63,1,1,1250.0,,1250.0,1250.0,,4.88,other:212; Supermicro:35; ASUS:9; HP:7,2933:240; 2666:27; 3200:2,0,0,0,,,,
ddr4,server,512,kit,186,1,4199.0,,4199.0,4199.0,,8.2,0,0,,,,,,,other:154; Supermicro:17; HP:11; Samsung:2,3200:164; 2933:22,0,0,0,,,,
ddr4,sodimm,2,1x,1,1,17.99,,17.99,17.99,,8.99,8,6,9.5,10.48,11.48,11.69,13.58,5.85,SK Hynix:5; Transcend:2; ADATA/XPG:1; Apacer:1,2400:3; 2133:2; 2666:2,0,0,0,,,,
ddr4,sodimm,4,1x,92,32,12.0,18.9,16.18,24.7,36.19,6.17,211,119,10.9,15.77,11.99,18.9,22.89,4.72,other:69; SK Hynix:61; Samsung:55; Micron:28,2400:108; 2666:62; 2133:57,8,7,467,0.02,2.0,AT:24; IT:24; ES:28; NL:32; GB:27; US:41,1.51
ddr4,sodimm,4,kit,2,2,14.99,,17.89,17.89,,4.47,1,1,13.74,,13.74,13.74,,3.44,ADATA/XPG:2; other:1,2400:2,0,0,0,,,,
ddr4,sodimm,8,1x,873,96,32.8,47.96,34.0,60.0,81.48,7.5,294,151,22.48,33.1,27.0,37.38,44.19,4.67,Crucial:320; other:221; Samsung:167; Kingston:94,3200:630; 2666:173; 2400:166,8,7,3,0.0,0.0,AT:54; FR:54; IT:36; ES:47; NL:48; GB:43; US:59,1.06
ddr4,sodimm,8,kit,76,11,26.8,34.32,34.32,46.09,79.98,5.76,55,48,23.35,29.79,24.38,32.35,37.84,4.04,other:73; Samsung:20; SK Hynix:14; Micron:11,2400:49; 2666:40; 2133:26,8,3,0,0.0,0.0,,
